SKU,recent_avg_sales,previous_avg_sales,sales_trend,target
JNE3781-KR-M,1.2666666666666666,0.4,0.6190476190476191,2
JNE3781-KR-S,0.7,0.4333333333333333,0.1860465116279069,2
JNE3781-KR-XL,1.6666666666666667,0.6666666666666666,0.6000000000000001,2
JNE3781-KR-XS,0.2,0.1,0.0909090909090909,1
JNE3781-KR-XXL,1.3,0.7333333333333333,0.326923076923077,2
JNE3781-KR-XXXL,1.1666666666666667,1.1,0.0317460317460317,1
JNE3782-KR-L,0.1,0.0666666666666666,0.03125,1
JNE3782-KR-M,0.1,0.0,0.1,2
JNE3782-KR-S,0.1,0.1,0.0,1
JNE3782-KR-XL,0.1666666666666666,0.4333333333333333,-0.186046511627907,0
JNE3782-KR-XS,0.0333333333333333,0.0,0.0333333333333333,1
JNE3782-KR-XXL,0.3,0.0666666666666666,0.21875,2
JNE3782-KR-XXXL,0.2333333333333333,0.3,-0.0512820512820512,1
JNE3783-KR-L,0.2,0.1666666666666666,0.0285714285714285,1
JNE3783-KR-M,0.1,0.0,0.1,2
JNE3783-KR-S,0.0666666666666666,0.0,0.0666666666666666,1
JNE3783-KR-XL,0.1333333333333333,0.0666666666666666,0.0625,1
JNE3783-KR-XXL,0.1666666666666666,0.1666666666666666,0.0,1
JNE3783-KR-XXXL,0.2333333333333333,0.2666666666666666,-0.0263157894736842,1
JNE3784-KR-L,1.5333333333333334,1.4333333333333331,0.0410958904109589,1
JNE3784-KR-M,1.6666666666666667,1.7333333333333334,-0.024390243902439,1
JNE3784-KR-S,0.7333333333333333,0.5666666666666667,0.1063829787234042,2
JNE3784-KR-XL,1.4666666666666666,1.0666666666666669,0.1935483870967741,2
JNE3784-KR-XS,0.9,0.3666666666666666,0.3902439024390244,2
JNE3784-KR-XXL,1.6333333333333333,0.8,0.4629629629629629,2
JNE3784-KR-XXXL,0.7,0.7666666666666667,-0.0377358490566038,1
JNE3785-KR-L,0.7333333333333333,0.2333333333333333,0.4054054054054053,2
JNE3785-KR-M,0.4,0.1666666666666666,0.2,2
JNE3785-KR-S,0.3333333333333333,0.2,0.111111111111111,2
JNE3785-KR-XL,0.7333333333333333,0.2,0.4444444444444443,2
JNE3785-KR-XS,0.0666666666666666,0.0666666666666666,0.0,1
JNE3785-KR-XXL,0.5333333333333333,0.3333333333333333,0.15,2
JNE3785-KR-XXXL,0.2,0.3333333333333333,-0.0999999999999999,1
JNE3786-KR-L,0.1,0.0333333333333333,0.064516129032258,1
JNE3786-KR-S,0.1333333333333333,0.1333333333333333,0.0,1
JNE3786-KR-XS,0.2,0.0333333333333333,0.1612903225806451,2
JNE3786-KR-XXL,0.2,0.1333333333333333,0.0588235294117647,1
JNE3786-KR-XXXL,0.3666666666666666,0.2333333333333333,0.108108108108108,2
JNE3787-KR-L,0.0333333333333333,0.1,-0.0606060606060606,1
JNE3787-KR-M,0.1,0.0333333333333333,0.064516129032258,1
JNE3787-KR-S,0.2,0.6666666666666666,-0.2799999999999999,0
JNE3787-KR-XL,0.0333333333333333,0.0333333333333333,0.0,1
JNE3787-KR-XS,0.2333333333333333,0.2666666666666666,-0.0263157894736842,1
JNE3787-KR-XXL,0.2,0.4666666666666667,-0.1818181818181818,0
JNE3787-KR-XXXL,0.1,0.2,-0.0833333333333333,1
JNE3788-KR-M,0.0333333333333333,0.1,-0.0606060606060606,1
JNE3789-KR-M,0.0666666666666666,0.0,0.0666666666666666,1
JNE3789-KR-XS,0.0666666666666666,0.1666666666666666,-0.0857142857142857,1
JNE3789-KR-XXXL,0.0333333333333333,0.1,-0.0606060606060606,1
JNE3790-KR-L,0.3,0.1666666666666666,0.1142857142857142,2
JNE3790-KR-M,0.1333333333333333,0.0333333333333333,0.0967741935483871,1
JNE3790-KR-S,0.1666666666666666,0.0,0.1666666666666666,2
JNE3790-KR-XL,0.2333333333333333,0.1,0.1212121212121212,2
JNE3790-KR-XXL,0.4666666666666667,0.1,0.3333333333333333,2
JNE3790-KR-XXXL,0.2333333333333333,0.2666666666666666,-0.0263157894736842,1
JNE3791-DR-M,0.0666666666666666,0.0333333333333333,0.032258064516129,1
JNE3791-DR-XXXL,0.1666666666666666,0.0666666666666666,0.09375,1
JNE3792-KR-S,0.1,0.0333333333333333,0.064516129032258,1
JNE3792-KR-XXL,0.1,0.0,0.1,2
JNE3792-KR-XXXL,0.2,0.0333333333333333,0.1612903225806451,2
JNE3793-KR-L,0.4,0.0,0.4,2
JNE3793-KR-M,0.5,0.1,0.3636363636363636,2
JNE3793-KR-S,0.4,0.3333333333333333,0.05,1
JNE3793-KR-XL,0.7,0.3666666666666666,0.2439024390243902,2
JNE3793-KR-XS,0.2333333333333333,0.1,0.1212121212121212,2
JNE3793-KR-XXL,0.5666666666666667,0.0333333333333333,0.5161290322580645,2
JNE3793-KR-XXXL,0.6333333333333333,0.8333333333333334,-0.1090909090909091,0
JNE3794-KR-L,0.3666666666666666,0.1333333333333333,0.2058823529411764,2
JNE3794-KR-M,0.2333333333333333,0.8666666666666667,-0.3392857142857142,0
JNE3794-KR-S,0.1,0.5,-0.2666666666666666,0
JNE3794-KR-XL,0.4666666666666667,0.1333333333333333,0.2941176470588236,2
JNE3794-KR-XS,0.1333333333333333,0.1333333333333333,0.0,1
JNE3794-KR-XXL,0.4666666666666667,0.1,0.3333333333333333,2
JNE3794-KR-XXXL,0.3,0.6,-0.1874999999999999,0
JNE3795-KR-L,0.2,0.2666666666666666,-0.0526315789473684,1
JNE3795-KR-M,0.1666666666666666,0.2666666666666666,-0.0789473684210526,1
JNE3795-KR-S,0.2333333333333333,0.4333333333333333,-0.1395348837209302,0
JNE3795-KR-XL,0.2666666666666666,0.9,-0.3333333333333333,0
JNE3795-KR-XS,0.2,0.2333333333333333,-0.027027027027027,1
JNE3795-KR-XXL,0.2,0.4,-0.1428571428571428,0
JNE3796-KR-L,0.1,0.1333333333333333,-0.0294117647058823,1
JNE3796-KR-M,0.0333333333333333,0.0,0.0333333333333333,1
JNE3796-KR-XXL,0.0666666666666666,0.0,0.0666666666666666,1
JNE3796-KR-XXXL,0.0666666666666666,0.1,-0.0303030303030303,1
JNE3797-KR-A-L,1.5,0.6,0.5625,2
JNE3797-KR-A-M,4.066666666666666,0.4333333333333333,2.534883720930232,2
JNE3797-KR-A-S,2.6,0.9333333333333332,0.8620689655172414,2
JNE3797-KR-A-XL,1.0666666666666669,0.8,0.1481481481481481,2
JNE3797-KR-A-XS,0.3666666666666666,0.3333333333333333,0.0249999999999999,1
JNE3797-KR-A-XXL,0.5666666666666667,0.2666666666666666,0.2368421052631579,2
JNE3797-KR-A-XXXL,0.7,0.2666666666666666,0.3421052631578947,2
JNE3797-KR-L,11.366666666666667,7.533333333333333,0.44921875,2
JNE3797-KR-M,8.933333333333334,7.633333333333334,0.1505791505791505,2
JNE3797-KR-S,7.2,7.933333333333334,-0.0820895522388059,1
JNE3797-KR-XL,5.666666666666667,7.333333333333333,-0.1999999999999999,0
JNE3797-KR-XS,6.333333333333333,4.5,0.3333333333333332,2
JNE3797-KR-XXL,6.833333333333333,3.1333333333333333,0.8951612903225807,2
JNE3797-KR-XXXL,5.666666666666667,4.566666666666666,0.1976047904191618,2
JNE3798-KR-A-L,0.2,0.4,-0.1428571428571428,0
JNE3798-KR-A-M,0.3666666666666666,0.2333333333333333,0.108108108108108,2
JNE3798-KR-A-XL,0.2666666666666666,0.1666666666666666,0.0857142857142857,1
JNE3798-KR-A-XXL,0.1333333333333333,0.2666666666666666,-0.1052631578947368,0
JNE3798-KR-L,1.7666666666666666,1.2,0.2575757575757575,2
JNE3798-KR-M,1.6333333333333333,1.2333333333333334,0.1791044776119402,2
JNE3798-KR-S,0.7,1.1333333333333333,-0.203125,0
JNE3798-KR-XL,2.2333333333333334,2.033333333333333,0.0659340659340659,1
JNE3798-KR-XS,1.2,0.5333333333333333,0.4347826086956521,2
JNE3798-KR-XXL,2.2666666666666666,0.8333333333333334,0.7818181818181816,2
JNE3798-KR-XXXL,1.6666666666666667,0.9333333333333332,0.3793103448275862,2
JNE3799-KR-L,0.2,0.4333333333333333,-0.1627906976744186,0
JNE3799-KR-M,0.3333333333333333,0.2333333333333333,0.081081081081081,1
JNE3799-KR-S,0.2,0.1666666666666666,0.0285714285714285,1
JNE3799-KR-XL,0.4666666666666667,0.3,0.1282051282051282,2
JNE3799-KR-XS,0.4333333333333333,0.2333333333333333,0.1621621621621621,2
JNE3799-KR-XXL,0.5666666666666667,0.3,0.2051282051282051,2
JNE3799-KR-XXXL,0.4,0.3,0.0769230769230769,1
JNE3800-KR-A-L,0.7333333333333333,0.2333333333333333,0.4054054054054053,2
JNE3800-KR-A-M,0.7,0.4,0.2142857142857142,2
JNE3800-KR-A-S,0.8,0.1333333333333333,0.5882352941176472,2
JNE3800-KR-A-XS,0.2,0.1333333333333333,0.0588235294117647,1
JNE3800-KR-A-XXL,0.2,0.3333333333333333,-0.0999999999999999,1
JNE3800-KR-A-XXXL,0.6,0.2,0.3333333333333333,2
JNE3800-KR-L,3.1,1.7333333333333334,0.5,2
JNE3800-KR-M,2.7666666666666666,1.5,0.5066666666666666,2
JNE3800-KR-S,2.0,0.7666666666666667,0.6981132075471699,2
JNE3800-KR-XL,2.033333333333333,1.0666666666666669,0.467741935483871,2
JNE3800-KR-XS,0.8,0.1666666666666666,0.5428571428571429,2
JNE3800-KR-XXL,1.6666666666666667,1.1333333333333333,0.25,2
